Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.6140583554376657,0.6070078249900952,0.608105302230224,0.6057965066737757
Linear SVC,0.696949602122016,0.6899149990209679,0.6910415565437118,0.6897015372939372
Random Forest,0.7897877984084881,0.7884057678146098,0.7850703230584777,0.7844553400970902
Naive Bayes,0.5696286472148541,0.5827483270351894,0.5599878165185392,0.5604180553183016
K-Nearest Neighbors,0.5503978779840849,0.546157704374898,0.5432511529301608,0.5374474376191434
Stochastic Gradient Descent,0.6445623342175066,0.6374994677042239,0.6373803640613176,0.6332418105250821
