Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.6757294429708223,0.6695445579201224,0.6687074157991685,0.6682800617676563
Linear SVC,0.6889920424403183,0.6840203822316332,0.6812352555850414,0.6815525398826581
Random Forest,0.7970822281167109,0.7952325935790271,0.7924299714973739,0.791821346017651
Naive Bayes,0.5716180371352785,0.5711749884343875,0.564417657161831,0.5644632055870621
K-Nearest Neighbors,0.5318302387267905,0.542562703884601,0.5262680085624464,0.5246661763784616
Stochastic Gradient Descent,0.6737400530503979,0.6612812924705925,0.6661833447708889,0.6611751034305006
